,Voltage,Current
0,5.68717909,0.0531721003
1,5.60257292,0.59738034
2,5.60045147,0.5997172
3,5.59961081,0.599728942
4,5.59868813,0.599724233
5,5.59850025,0.599699557
6,5.59834433,0.599718332
7,5.59748888,0.599661887
8,5.59751558,0.599734783
9,5.59805346,0.59970063
10,5.59785652,0.599672437
11,5.59800339,0.599713624
12,5.59762716,0.599748969
13,5.59764194,0.599681854
14,5.59761238,0.599713624
15,5.59761858,0.599686563
16,5.59791517,0.599721909
17,5.59738064,0.599727809
18,5.59725094,0.599692464
19,5.59683943,0.599724233
20,5.59745073,0.599699557
21,5.59723043,0.599739492
22,5.59683371,0.599698365
23,5.5965662,0.599730134
24,5.59669876,0.599706531
25,5.59633112,0.599708915
26,5.5963726,0.59970063
27,5.59613132,0.599724233
28,5.59616089,0.599725425
29,5.59621048,0.599695981
30,5.59626341,0.599695981
31,5.59685135,0.599725425
32,5.59659004,0.599721909
33,5.59680748,0.599719524
34,5.59614325,0.59969008
35,5.59604931,0.599694848
36,5.59635448,0.599739492
37,5.5964489,0.599686563
38,5.59633684,0.599706531
39,5.59602547,0.599708915
40,5.59634304,0.599708915
41,5.59611702,0.599703014
42,5.59629297,0.599731326
43,5.59618711,0.599710107
44,5.59602261,0.599707723
45,5.5957613,0.599718332
46,5.59634876,0.599703014
47,5.59575844,0.599712431
48,5.59608126,0.599699557
49,5.59582567,0.599706531
50,5.59613705,0.599706531
51,5.59614611,0.599720716
52,5.59558201,0.599727809
53,5.59541988,0.599666595
54,5.59549379,0.599720716
55,5.59550571,0.599661887
56,5.59589958,0.599712431
57,5.59594059,0.599718332
58,5.59588146,0.599716008
59,5.59581137,0.599699557
60,5.59587002,0.599712431
61,5.59549093,0.599713624
62,5.59538507,0.599684179
63,5.59538174,0.599723041
64,5.59567881,0.59967947
65,5.59520578,0.599711299
66,5.59505606,0.599746585
67,5.59495878,0.599731326
68,5.59571409,0.599692464
69,5.59522343,0.599711299
70,5.59504414,0.599720716
71,5.59485626,0.599719524
72,5.5945859,0.599711299
73,5.59512615,0.599712431
74,5.5948472,0.599684179
75,5.59476185,0.599745393
76,5.59502649,0.599713624
77,5.59477043,0.599719524
78,5.5943799,0.599701822
79,5.59409761,0.599707723
80,5.59494972,0.599712431
81,5.59439468,0.599703014
82,5.59424496,0.599706531
83,5.59432983,0.599677145
84,5.5937624,0.599684179
85,5.59372759,0.599713624
86,5.59408903,0.599707723
87,5.59412718,0.599687755
88,5.59434462,0.59966886
89,5.59385395,0.599655986
90,5.59437418,0.599716008
91,5.59359789,0.599667668
92,5.59346867,0.599705398
93,5.59367466,0.59967947
94,5.59398031,0.599685371
95,5.59349823,0.599665403
96,5.59348059,0.599693656
97,5.59357786,0.599664211
98,5.59344816,0.599693656
99,5.59400654,0.599683046
100,5.59383917,0.599694848
101,5.59376001,0.599680662
102,5.59321928,0.599714816
103,5.59330416,0.599686563
104,5.59369516,0.599686563
105,5.59346628,0.599675953
106,5.59331322,0.599711299
107,5.59330416,0.599685371
108,5.59327221,0.599711299
109,5.59327793,0.59967947
110,5.59336615,0.599695981
111,5.59316635,0.599711299
112,5.59315157,0.599691272
113,5.5928607,0.599705398
114,5.59316921,0.599708915
115,5.59320736,0.599686563
116,5.5934515,0.599731326
117,5.59311628,0.599678338
118,5.59323978,0.599745393
119,5.5930748,0.599698365
120,5.59297228,0.599647701
121,5.59284878,0.599686563
122,5.59239054,0.599680662
123,5.59248734,0.599739492
124,5.59236717,0.599684179
125,5.59251356,0.599675953
126,5.59279871,0.599714816
127,5.59284019,0.599692464
128,5.5927639,0.599707723
129,5.59258127,0.599714816
130,5.59271955,0.599684179
131,5.59251356,0.59969008
132,5.59271955,0.599699557
133,5.59243727,0.599707723
134,5.59286642,0.599704206
135,5.59257841,0.599703014
136,5.593225,0.599710107
137,5.59309292,0.599695981
138,5.59316301,0.599712431
139,5.59342813,0.599716008
140,5.59269905,0.599687755
141,5.59272242,0.59973371
142,5.59291649,0.59970063
143,5.59270477,0.599704206
144,5.59311914,0.599661887
145,5.59278107,0.599685371
146,5.59257841,0.59967947
147,5.59250212,0.599707723
148,5.59311056,0.599703014
149,5.59295464,0.599683046
150,5.59350443,0.596212447
151,5.60878563,0.499658376
152,5.60855055,0.49968189
153,5.60880899,0.499667764
154,5.60914421,0.499665409
155,5.60923243,0.499710172
156,5.60892344,0.499677211
157,5.60866499,0.499677211
158,5.60929108,0.499680698
159,5.60871792,0.499677211
160,5.60899115,0.499661893
161,5.60882998,0.499723107
162,5.60887671,0.499645412
163,5.60879707,0.499713719
164,5.60904408,0.49966073
165,5.60904408,0.499665409
166,5.60842419,0.499699563
167,5.60850954,0.499683082
168,5.60879421,0.499679565
169,5.60882664,0.499684244
170,5.60894728,0.499679565
171,5.60886812,0.499696046
172,5.6088562,0.499680698
173,5.60861492,0.499637157
174,5.60875034,0.499705434
175,5.60888863,0.499677211
176,5.60847139,0.499672472
177,5.60848856,0.499693692
178,5.60903263,0.499670118
179,5.60826874,0.499699563
180,5.60843611,0.499664217
181,5.60830688,0.49968189
182,5.60865593,0.499673665
183,5.60854149,0.499680698
184,5.60850334,0.499705434
185,5.60876799,0.499668956
186,5.60836506,0.499687791
187,5.60821247,0.499670118
188,5.60844469,0.499680698
189,5.60827732,0.499676019
190,5.60810089,0.499683082
191,5.6081686,0.499670118
192,5.60825682,0.499707818
193,5.60832119,0.499661893
194,5.6085124,0.499698371
195,5.60848284,0.499663085
196,5.60818577,0.499665409
197,5.60900927,0.499684244
198,5.60875034,0.499710172
199,5.60846233,0.499653637
200,5.60887671,0.499701917
201,5.60833311,0.499653637
202,5.60844803,0.499703079
203,5.60807133,0.499661893
204,5.6080246,0.499710172
205,5.60876226,0.499674857
206,5.60844803,0.499657184
207,5.60849142,0.499676019
208,5.60864449,0.499707818
209,5.60865927,0.4996925
210,5.6081624,0.499683082
211,5.6083622,0.499655992
212,5.60859442,0.499693692
213,5.60813904,0.499640703
214,5.60820675,0.499694854
215,5.60840654,0.499691337
216,5.60795975,0.499685436
217,5.60800123,0.499676019
218,5.60809231,0.499678373
219,5.6087327,0.49967131
220,5.60829496,0.499680698
221,5.60812426,0.499690145
222,5.60806561,0.499679565
223,5.60776567,0.499687791
224,5.60787725,0.499657184
225,5.60791302,0.499696046
226,5.60811567,0.499674857
227,5.60752201,0.499685436
228,5.60751295,0.499666601
229,5.60767746,0.49968189
230,5.60705757,0.499686599
231,5.60703135,0.499688953
232,5.60740137,0.499680698
233,5.6073308,0.49968189
234,5.60782194,0.49967131
235,5.60744238,0.499670118
236,5.60760736,0.499679565
237,5.60749245,0.499679565
238,5.60758638,0.4996925
239,5.60742521,0.499688953
240,5.60688114,0.499673665
241,5.60714579,0.499687791
242,5.60758638,0.4996925
243,5.60741043,0.499640703
244,5.60689878,0.49971956
245,5.60732508,0.499652475
246,5.60738087,0.499723107
247,5.60696363,0.499651283
248,5.60704613,0.499670118
249,5.60742807,0.4996925
250,5.60749817,0.49967131
251,5.65069485,0.226834357
252,5.65226126,0.220013306
253,5.65304279,0.220069811
254,5.65288115,0.22004275
255,5.6536603,0.220028609
256,5.65388346,0.220041573
257,5.65343094,0.220030978
258,5.65414762,0.220023915
259,5.65383005,0.220040396
260,5.65384817,0.220022738
261,5.65363646,0.220036849
262,5.65359545,0.220048636
263,5.65429783,0.220008612
264,5.65338945,0.220055699
265,5.65407419,0.220047459
266,5.65366268,0.220028609
267,5.65387154,0.220022738
268,5.65401268,0.220019206
269,5.65393019,0.22006157
270,5.65445614,0.220038027
271,5.65407705,0.220012128
272,5.65382147,0.220025092
273,5.65394497,0.220040396
274,5.65378046,0.220028609
275,5.65426254,0.220054522
276,5.65395975,0.22004275
277,5.65389776,0.220008612
278,5.65373945,0.22004509
279,5.65377188,0.220010966
280,5.65409756,0.220059231
281,5.65371561,0.220020369
282,5.65337467,0.220015675
283,5.65392733,0.22003451
284,5.65356588,0.220058054
285,5.65413046,0.220035687
286,5.65383959,0.220012128
287,5.65398932,0.220033333
288,5.65400076,0.220027447
289,5.65412712,0.220054522
290,5.65403032,0.220039219
291,5.65412426,0.220038027
292,5.65385962,0.220018029
293,5.65415955,0.220058054
294,5.65380669,0.220048636
295,5.65433311,0.220035687
296,5.6545682,0.220010966
297,5.65381002,0.220047459
298,5.65427113,0.220032156
299,5.65430641,0.220030978
300,5.65414762,0.220016852
301,5.65314007,0.220036849
302,5.65391827,0.220055699
303,5.65393925,0.219998002
304,5.65394783,0.22004509
305,5.65397453,0.220067471
306,5.65413332,0.220012128
307,5.65393305,0.220050991
308,5.65362453,0.220027447
309,5.6542387,0.220015675
310,5.65438604,0.220062762
311,5.65412426,0.220010966
312,5.65380144,0.220036849
313,5.65428019,0.220046267
314,5.65426254,0.220029786
315,5.65383959,0.220027447
316,5.65441227,0.220036849
317,5.65393925,0.220032156
318,5.65417147,0.220018029
319,5.65437412,0.220022738
320,5.65454721,0.22005333
321,5.65444136,0.220036849
322,5.65407705,0.220027447
323,5.65415382,0.220047459
324,5.65400076,0.220030978
325,5.65405083,0.220038027
326,5.65377474,0.220008612
327,5.65382767,0.220035687
328,5.65385103,0.220046267
329,5.65406847,0.220049813
330,5.65363932,0.220039219
331,5.65428591,0.220023915
332,5.65381002,0.220029786
333,5.65464449,0.220043927
334,5.65399218,0.22004509
335,5.65431261,0.220014483
336,5.65435934,0.220047459
337,5.65436506,0.220028609
338,5.65440321,0.22002627
339,5.65437984,0.220027447
340,5.65435648,0.220073357
341,5.65458584,0.220006242
342,5.65398598,0.220035687
343,5.6542387,0.220038027
344,5.65318394,0.220032156
345,5.65380144,0.220023915
346,5.65363646,0.220032156
347,5.65423584,0.220048636
348,5.65397453,0.220027447
349,5.6536603,0.220030978
350,5.65425348,0.220043927
351,5.613132,0.476806581
352,5.60887384,0.499683082
353,5.60891485,0.499690145
354,5.60828876,0.499685436
355,5.6085124,0.499661893
356,5.60855055,0.499685436
357,5.6083622,0.499667764
358,5.60842991,0.499657184
359,5.60871792,0.499720752
360,5.60880041,0.499653637
361,5.60835648,0.49970898
362,5.60771275,0.499632448
363,5.60825396,0.499703079
364,5.60801268,0.499664217
365,5.60848618,0.499717206
366,5.60765982,0.49966073
367,5.6079154,0.499672472
368,5.60786581,0.499666601
369,5.60814238,0.499714851
370,5.60808945,0.499665409
371,5.60784817,0.499676019
372,5.60788059,0.499679565
373,5.60785675,0.499699563
374,5.60808611,0.499679565
375,5.60792446,0.49965483
376,5.60839796,0.499701917
377,5.60820961,0.49967131
378,5.60800648,0.499678373
379,5.6079483,0.49967131
380,5.60789537,0.499723107
381,5.60775423,0.49963361
382,5.6080184,0.499683082
383,5.60808945,0.499694854
384,5.60795116,0.499674857
385,5.60745716,0.499678373
386,5.60809469,0.499691337
387,5.60799503,0.49967131
388,5.60812426,0.499664217
389,5.60768938,0.499683082
390,5.60772181,0.4996925
391,5.6077981,0.49965483
392,5.60708666,0.499686599
393,5.60754824,0.499698371
394,5.60749245,0.49967131
395,5.60730743,0.49966073
396,5.60736609,0.499694854
